ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Frmd6	1	0	0	0	0	0
Fst	1	0	0	0	0	0
Fundc1	1	0	0	0	0	0
Fut8	1	0	0	0	0	0
Fyn	1	0	0	0	0	0
Fzd2	1	0	0	0	0	0
Fzd7	1	0	0	0	0	0
Gadd45a	1	0	0	0	0	0
Gadd45g	1	0	0	0	0	0
Galnt15	1	0	0	0	0	0
Galnt18	1	0	0	0	0	0
Gas1	1	0	0	0	0	0
Gcat	1	0	0	0	0	0
Gem	1	0	0	0	0	0
Ghr	1	0	0	0	0	0
Gins3	1	0	0	0	0	0
Glcci1	1	0	0	0	0	0
Glt28d2	1	0	0	0	0	0
Glul	1	0	0	0	0	0
Gm5148	1	0	0	0	0	0
Gm7325	1	0	0	0	0	0
Gnai3	1	0	0	0	0	0
Gpr155	1	0	0	0	0	0
Gprc5c	1	0	0	0	0	0
Grtp1	1	0	0	0	0	0
Gss	1	0	0	0	0	0
Gypc	1	0	0	0	0	0
Has2	1	0	0	0	0	0
Hba-a1	1	0	0	0	0	0
Hdac4	1	0	0	0	0	0
Heatr1	1	0	0	0	0	0
Herc1	1	0	0	0	0	0
Herpud1	1	0	0	0	0	0
Herpud2	1	0	0	0	0	0
Hes1	1	0	0	0	0	0
Hexdc	1	0	0	0	0	0
Hey1	1	0	0	0	0	0
Higd1a	1	0	0	0	0	0
Hist2h3c2	1	0	0	0	0	0
Hmgn1	1	0	0	0	0	0
Hmgn3	1	0	0	0	0	0
Hmgxb4	1	0	0	0	0	0
Hnrnpk	1	0	0	0	0	0
Hprt	1	0	0	0	0	0
Hs6st1	1	0	0	0	0	0
Htra3	1	0	0	0	0	0
Iba57	1	0	0	0	0	0
Ice1	1	0	0	0	0	0
Ier5l	1	0	0	0	0	0
Igf2	1	0	0	0	0	0
Igfbp5	1	0	0	0	0	0
Igsf3	1	0	0	0	0	0
Igtp	1	0	0	0	0	0
Il15	1	0	0	0	0	0
Ino80c	1	0	0	0	0	0
Ins2	1	0	0	0	0	0
Irf2bp2	1	0	0	0	0	0
Irx5	1	0	0	0	0	0
Itga11	1	0	0	0	0	0
Itga6	1	0	0	0	0	0
Itgb1	1	0	0	0	0	0
Jade1	1	0	0	0	0	0
Jph1	1	0	0	0	0	0
Jund	1	0	0	0	0	0
Kcnk5	1	0	0	0	0	0
Kcnq4	1	0	0	0	0	0
Kif1b	1	0	0	0	0	0
Kif21b	1	0	0	0	0	0
Kif2a	1	0	0	0	0	0
Kifc3	1	0	0	0	0	0
Klf2	1	0	0	0	0	0
Klf3	1	0	0	0	0	0
Klf4	1	0	0	0	0	0
Klf5	1	0	0	0	0	0
Klhl31	1	0	0	0	0	0
Klhl36	1	0	0	0	0	0
Ktn1	1	0	0	0	0	0
Laptm4a	1	0	0	0	0	0
Laptm4b	1	0	0	0	0	0
Lbp	1	0	0	0	0	0
Lfng	1	0	0	0	0	0
Lifr	1	0	0	0	0	0
Lima1	1	0	0	0	0	0
Lin9	1	0	0	0	0	0
Lmo4	1	0	0	0	0	0
Lmod2	1	0	0	0	0	0
Lonp2	1	0	0	0	0	0
Loxl1	1	0	0	0	0	0
Lpp	1	0	0	0	0	0
Lrrk1	1	0	0	0	0	0
Lrrn1	1	0	0	0	0	0
Lsp1	1	0	0	0	0	0
Ltbp1	1	0	0	0	0	0
Lyplal1	1	0	0	0	0	0
Lyst	1	0	0	0	0	0
Mafa	1	0	0	0	0	0
Mamdc2	1	0	0	0	0	0
Man2a1	1	0	0	0	0	0
Manba	1	0	0	0	0	0
Maoa	1	0	0	0	0	0
Map3k4	1	0	0	0	0	0
Map3k7cl	1	0	0	0	0	0
March11	1	0	0	0	0	0
Marcks	1	0	0	0	0	0
Mat2a	1	0	0	0	0	0
Max	1	0	0	0	0	0
Mb	1	0	0	0	0	0
Med21	1	0	0	0	0	0
Med30	1	0	0	0	0	0
Medag	1	0	0	0	0	0
Mef2a	1	0	0	0	0	0
Megf9	1	0	0	0	0	0
Metap2	1	0	0	0	0	0
Mex3b	1	0	0	0	0	0
Mfsd7a	1	0	0	0	0	0
Mipep	1	0	0	0	0	0
Mis18a	1	0	0	0	0	0
Mkln1	1	0	0	0	0	0
Mllt10	1	0	0	0	0	0
Mmp15	1	0	0	0	0	0
Mns1	1	0	0	0	0	0
Mob1b	1	0	0	0	0	0
Mrgprf	1	0	0	0	0	0
Mrpl23	1	0	0	0	0	0
Mrpl33	1	0	0	0	0	0
Mrpl39	1	0	0	0	0	0
Msh2	1	0	0	0	0	0
Mta3	1	0	0	0	0	0
Mtch1	1	0	0	0	0	0
Mtdh	1	0	0	0	0	0
Mtmr4	1	0	0	0	0	0
Mtmr7	1	0	0	0	0	0
Mtss1	1	0	0	0	0	0
