ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Eef1e1	-1	0	0	0	0	0
Ehbp1	-1	0	0	0	0	0
Ehd3	-1	0	0	0	0	0
Eif1	-1	0	0	0	0	0
Eif4b	-1	0	0	0	0	0
Elk3	-1	0	0	0	0	0
Emp1	-1	0	0	0	0	0
En1	-1	0	0	0	0	0
Enc1	-1	0	0	0	0	0
Epha2	-1	0	0	0	0	0
Epn2	-1	0	0	0	0	0
Ercc6l2	-1	0	0	0	0	0
Eri1	-1	0	0	0	0	0
Erich1	-1	0	0	0	0	0
Ermp1	-1	0	0	0	0	0
Errfi1	-1	0	0	0	0	0
Etnk1	-1	0	0	0	0	0
Ets2	-1	0	0	0	0	0
Etv4	-1	0	0	0	0	0
Evc2	-1	0	0	0	0	0
Exoc1	-1	0	0	0	0	0
Exoc2	-1	0	0	0	0	0
Exoc6	-1	0	0	0	0	0
Eya1	-1	0	0	0	0	0
Eya4	-1	0	0	0	0	0
F3	-1	0	0	0	0	0
Fam107b	-1	0	0	0	0	0
Fam110c	-1	0	0	0	0	0
Fam122b	-1	0	0	0	0	0
Fam167a	-1	0	0	0	0	0
Fam180a	-1	0	0	0	0	0
Fam210b	-1	0	0	0	0	0
Fam76a	-1	0	0	0	0	0
Fanca	-1	0	0	0	0	0
Fancf	-1	0	0	0	0	0
Fat1	-1	0	0	0	0	0
Fbxl17	-1	0	0	0	0	0
Fbxo28	-1	0	0	0	0	0
Fbxo31	-1	0	0	0	0	0
Fbxo32	-1	0	0	0	0	0
Fchsd1	-1	0	0	0	0	0
Fgfr1	-1	0	0	0	0	0
Fgfrl1	-1	0	0	0	0	0
Fggy	-1	0	0	0	0	0
Fn1	-1	0	0	0	0	0
Fosl2	-1	0	0	0	0	0
Foxl1	-1	0	0	0	0	0
Foxn3	-1	0	0	0	0	0
Foxo1	-1	0	0	0	0	0
Foxo3	-1	0	0	0	0	0
Foxo6	-1	0	0	0	0	0
Foxq1	-1	0	0	0	0	0
Foxs1	-1	0	0	0	0	0
Furin	-1	0	0	0	0	0
Fut8	-1	0	0	0	0	0
Gadd45g	-1	0	0	0	0	0
Galc	-1	0	0	0	0	0
Galnt1	-1	0	0	0	0	0
Galnt7	-1	0	0	0	0	0
Gatb	-1	0	0	0	0	0
Gdnf	-1	0	0	0	0	0
Gfod1	-1	0	0	0	0	0
Gjb4	-1	0	0	0	0	0
Glipr1	-1	0	0	0	0	0
Glul	-1	0	0	0	0	0
Gnb1l	-1	0	0	0	0	0
Golga4	-1	0	0	0	0	0
Gpam	-1	0	0	0	0	0
Gpcpd1	-1	0	0	0	0	0
Gpr39	-1	0	0	0	0	0
Gpx8	-1	0	0	0	0	0
Gramd3	-1	0	0	0	0	0
Grem1	-1	0	0	0	0	0
Grpel1	-1	0	0	0	0	0
Gstm5	-1	0	0	0	0	0
Gstp2	-1	0	0	0	0	0
Gtdc1	-1	0	0	0	0	0
Gtf2a2	-1	0	0	0	0	0
Gtf2h2	-1	0	0	0	0	0
Gypc	-1	0	0	0	0	0
H2afy	-1	0	0	0	0	0
H3f3a	-1	0	0	0	0	0
H6pd	-1	0	0	0	0	0
Hacd4	-1	0	0	0	0	0
Has2	-1	0	0	0	0	0
Hba-a1	-1	0	0	0	0	0
Hbegf	-1	0	0	0	0	0
Hes1	-1	0	0	0	0	0
Hif1a	-1	0	0	0	0	0
Hilpda	-1	0	0	0	0	0
Hipk2	-1	0	0	0	0	0
Hist2h2bb	-1	0	0	0	0	0
Hjurp	-1	0	0	0	0	0
Hlx	-1	0	0	0	0	0
Hmga2	-1	0	0	0	0	0
Hmgcr	-1	0	0	0	0	0
Hmox1	-1	0	0	0	0	0
Hs6st1	-1	0	0	0	0	0
Hspa12a	-1	0	0	0	0	0
Hspa13	-1	0	0	0	0	0
Hspa2	-1	0	0	0	0	0
Iars	-1	0	0	0	0	0
Ica1	-1	0	0	0	0	0
Id2	-1	0	0	0	0	0
Ier3	-1	0	0	0	0	0
Ier5l	-1	0	0	0	0	0
Iffo2	-1	0	0	0	0	0
Ifitm1	-1	0	0	0	0	0
Ifrd1	-1	0	0	0	0	0
Igfbp4	-1	0	0	0	0	0
Igtp	-1	0	0	0	0	0
Il12a	-1	0	0	0	0	0
Il1rl1	-1	0	0	0	0	0
Immp2l	-1	0	0	0	0	0
Impact	-1	0	0	0	0	0
Inf2	-1	0	0	0	0	0
Insc	-1	0	0	0	0	0
Insig2	-1	0	0	0	0	0
Intu	-1	0	0	0	0	0
Irf2	-1	0	0	0	0	0
Irf2bp2	-1	0	0	0	0	0
Irs1	-1	0	0	0	0	0
Irx2	-1	0	0	0	0	0
Itga6	-1	0	0	0	0	0
Itga7	-1	0	0	0	0	0
Itpr2	-1	0	0	0	0	0
Jag2	-1	0	0	0	0	0
Jak1	-1	0	0	0	0	0
Kbtbd8	-1	0	0	0	0	0
Kif5b	-1	0	0	0	0	0
Kifc5b	-1	0	0	0	0	0
Klf10	-1	0	0	0	0	0
Klf3	-1	0	0	0	0	0
Klf5	-1	0	0	0	0	0
Klf6	-1	0	0	0	0	0
Klf7	-1	0	0	0	0	0
Klhl22	-1	0	0	0	0	0
Klhl42	-1	0	0	0	0	0
Kras	-1	0	0	0	0	0
Krt13	-1	0	0	0	0	0
Krt14	-1	0	0	0	0	0
Krt19	-1	0	0	0	0	0
Laptm4a	-1	0	0	0	0	0
Las1l	-1	0	0	0	0	0
Lca5	-1	0	0	0	0	0
Lclat1	-1	0	0	0	0	0
Leprotl1	-1	0	0	0	0	0
Lifr	-1	0	0	0	0	0
Lin7c	-1	0	0	0	0	0
Lnp	-1	0	0	0	0	0
Lonp2	-1	0	0	0	0	0
Lpar1	-1	0	0	0	0	0
Lpar3	-1	0	0	0	0	0
Lpin2	-1	0	0	0	0	0
Lrig1	-1	0	0	0	0	0
Lrig3	-1	0	0	0	0	0
Lrrk2	-1	0	0	0	0	0
Lsm3	-1	0	0	0	0	0
Ly96	-1	0	0	0	0	0
Lyn	-1	0	0	0	0	0
Lyrm1	-1	0	0	0	0	0
Macc1	-1	0	0	0	0	0
Maff	-1	0	0	0	0	0
Magohb	-1	0	0	0	0	0
Map1b	-1	0	0	0	0	0
Map4k4	-1	0	0	0	0	0
March11	-1	0	0	0	0	0
March7	-1	0	0	0	0	0
Max	-1	0	0	0	0	0
Mb21d2	-1	0	0	0	0	0
Mbd1	-1	0	0	0	0	0
Mbnl2	-1	0	0	0	0	0
Mcm3	-1	0	0	0	0	0
Mdm1	-1	0	0	0	0	0
Me2	-1	0	0	0	0	0
Med13	-1	0	0	0	0	0
Med30	-1	0	0	0	0	0
Mesdc1	-1	0	0	0	0	0
Met	-1	0	0	0	0	0
Mettl16	-1	0	0	0	0	0
Mex3b	-1	0	0	0	0	0
Mfap3l	-1	0	0	0	0	0
Mfhas1	-1	0	0	0	0	0
Mgea5	-1	0	0	0	0	0
Mgl2	-1	0	0	0	0	0
Mgst2	-1	0	0	0	0	0
Mical2	-1	0	0	0	0	0
Mid1ip1	-1	0	0	0	0	0
Mien1	-1	0	0	0	0	0
Mkl1	-1	0	0	0	0	0
Mkln1	-1	0	0	0	0	0
Mmadhc	-1	0	0	0	0	0
Mreg	-1	0	0	0	0	0
Mrpl10	-1	0	0	0	0	0
Mrpl14	-1	0	0	0	0	0
Msc	-1	0	0	0	0	0
Msh6	-1	0	0	0	0	0
Mtap	-1	0	0	0	0	0
Mtg1	-1	0	0	0	0	0
Mtmr10	-1	0	0	0	0	0
Mtmr6	-1	0	0	0	0	0
Mtmr9	-1	0	0	0	0	0
Myeov2	-1	0	0	0	0	0
Mylip	-1	0	0	0	0	0
Nabp1	-1	0	0	0	0	0
Nars	-1	0	0	0	0	0
Ncam1	-1	0	0	0	0	0
Ncoa1	-1	0	0	0	0	0
Ndel1	-1	0	0	0	0	0
Ndfip1	-1	0	0	0	0	0
Ndufa10	-1	0	0	0	0	0
Ndufa3	-1	0	0	0	0	0
Ndufs4	-1	0	0	0	0	0
Nefl	-1	0	0	0	0	0
Nenf	-1	0	0	0	0	0
Nfil3	-1	0	0	0	0	0
Ngf	-1	0	0	0	0	0
Nmi	-1	0	0	0	0	0
Nmt2	-1	0	0	0	0	0
Npnt	-1	0	0	0	0	0
Nprl3	-1	0	0	0	0	0
Nrbf2	-1	0	0	0	0	0
Nrd1	-1	0	0	0	0	0
Nrg1	-1	0	0	0	0	0
Nsg1	-1	0	0	0	0	0
Nsmf	-1	0	0	0	0	0
Ntpcr	-1	0	0	0	0	0
Nudt12	-1	0	0	0	0	0
Nudt4	-1	0	0	0	0	0
Nuf2	-1	0	0	0	0	0
Nup160	-1	0	0	0	0	0
Nup35	-1	0	0	0	0	0
Oat	-1	0	0	0	0	0
Olfml3	-1	0	0	0	0	0
Optn	-1	0	0	0	0	0
Otud1	-1	0	0	0	0	0
Otud4	-1	0	0	0	0	0
P4ha2	-1	0	0	0	0	0
Pabpc1	-1	0	0	0	0	0
Pafah1b1	-1	0	0	0	0	0
Papss1	-1	0	0	0	0	0
Paqr8	-1	0	0	0	0	0
Pard6g	-1	0	0	0	0	0
Parp11	-1	0	0	0	0	0
Parp8	-1	0	0	0	0	0
Parvb	-1	0	0	0	0	0
Pcdh1	-1	0	0	0	0	0
Pced1b	-1	0	0	0	0	0
Pcf11	-1	0	0	0	0	0
Pcna	-1	0	0	0	0	0
Pcsk6	-1	0	0	0	0	0
Pde4d	-1	0	0	0	0	0
Pdgfc	-1	0	0	0	0	0
Pdia5	-1	0	0	0	0	0
Peli2	-1	0	0	0	0	0
Pfdn4	-1	0	0	0	0	0
Pgm1	-1	0	0	0	0	0
Pgrmc2	-1	0	0	0	0	0
Phb	-1	0	0	0	0	0
Phlda1	-1	0	0	0	0	0
Phtf2	-1	0	0	0	0	0
Pi15	-1	0	0	0	0	0
Pigt	-1	0	0	0	0	0
Pik3c2a	-1	0	0	0	0	0
Pik3cb	-1	0	0	0	0	0
Pja2	-1	0	0	0	0	0
Pkdcc	-1	0	0	0	0	0
Plaur	-1	0	0	0	0	0
Plekhf2	-1	0	0	0	0	0
Plekhm3	-1	0	0	0	0	0
Plin2	-1	0	0	0	0	0
Plxnd1	-1	0	0	0	0	0
Pmm1	-1	0	0	0	0	0
Podxl	-1	0	0	0	0	0
Pofut2	-1	0	0	0	0	0
Pogk	-1	0	0	0	0	0
Pold4	-1	0	0	0	0	0
Pomp	-1	0	0	0	0	0
Ppap2a	-1	0	0	0	0	0
Pparg	-1	0	0	0	0	0
Ppm1a	-1	0	0	0	0	0
Ppm1b	-1	0	0	0	0	0
Ppp1cc	-1	0	0	0	0	0
Ppp1r12a	-1	0	0	0	0	0
Ppp2r5a	-1	0	0	0	0	0
Ppp2r5c	-1	0	0	0	0	0
Pqlc3	-1	0	0	0	0	0
Prdm15	-1	0	0	0	0	0
Prkar2b	-1	0	0	0	0	0
Prkg2	-1	0	0	0	0	0
Prmt6	-1	0	0	0	0	0
Prodh	-1	0	0	0	0	0
Prrg4	-1	0	0	0	0	0
Prrx1	-1	0	0	0	0	0
Psd3	-1	0	0	0	0	0
Psmb7	-1	0	0	0	0	0
Psmc6	-1	0	0	0	0	0
Ptcd2	-1	0	0	0	0	0
Pter	-1	0	0	0	0	0
Ptgs1	-1	0	0	0	0	0
Ptgs2	-1	0	0	0	0	0
Ptn	-1	0	0	0	0	0
Ptpn1	-1	0	0	0	0	0
Ptpn13	-1	0	0	0	0	0
Ptpn3	-1	0	0	0	0	0
Ptprd	-1	0	0	0	0	0
Pttg1	-1	0	0	0	0	0
Pus7	-1	0	0	0	0	0
Pvalb	-1	0	0	0	0	0
Pvrl1	-1	0	0	0	0	0
Pwwp2b	-1	0	0	0	0	0
Pxdc1	-1	0	0	0	0	0
Pygm	-1	0	0	0	0	0
Rab11a	-1	0	0	0	0	0
Rab11fip2	-1	0	0	0	0	0
Rab23	-1	0	0	0	0	0
Rab26	-1	0	0	0	0	0
Rab2a	-1	0	0	0	0	0
Rad23b	-1	0	0	0	0	0
Rai14	-1	0	0	0	0	0
Ralb	-1	0	0	0	0	0
Rap2a	-1	0	0	0	0	0
Rapgef1	-1	0	0	0	0	0
Raph1	-1	0	0	0	0	0
Rasa4	-1	0	0	0	0	0
Rbfox2	-1	0	0	0	0	0
Rbpj	-1	0	0	0	0	0
Rbpms	-1	0	0	0	0	0
Rcbtb2	-1	0	0	0	0	0
Rest	-1	0	0	0	0	0
Rfc4	-1	0	0	0	0	0
Rfk	-1	0	0	0	0	0
Rgs16	-1	0	0	0	0	0
Rgs4	-1	0	0	0	0	0
Rictor	-1	0	0	0	0	0
Ripk2	-1	0	0	0	0	0
Rmi2	-1	0	0	0	0	0
Rnd3	-1	0	0	0	0	0
Rnf144b	-1	0	0	0	0	0
Rnf24	-1	0	0	0	0	0
Rpf1	-1	0	0	0	0	0
Rpl14	-1	0	0	0	0	0
Rras2	-1	0	0	0	0	0
Rtn2	-1	0	0	0	0	0
Runx1	-1	0	0	0	0	0
Runx3	-1	0	0	0	0	0
Ryk	-1	0	0	0	0	0
S100a3	-1	0	0	0	0	0
S1pr3	-1	0	0	0	0	0
Saal1	-1	0	0	0	0	0
Saraf	-1	0	0	0	0	0
Scaf11	-1	0	0	0	0	0
Scarb1	-1	0	0	0	0	0
Sdhc	-1	0	0	0	0	0
Sec11c	-1	0	0	0	0	0
Sec31a	-1	0	0	0	0	0
Sec61g	-1	0	0	0	0	0
Sept11	-1	0	0	0	0	0
Serp2	-1	0	0	0	0	0
Sertad2	-1	0	0	0	0	0
Sestd1	-1	0	0	0	0	0
Sfrp1	-1	0	0	0	0	0
Sgk1	-1	0	0	0	0	0
Sh3bp4	-1	0	0	0	0	0
Sh3gl3	-1	0	0	0	0	0
Siglecg	-1	0	0	0	0	0
Sik1	-1	0	0	0	0	0
Sipa1l2	-1	0	0	0	0	0
Six4	-1	0	0	0	0	0
Slain2	-1	0	0	0	0	0
Slc12a2	-1	0	0	0	0	0
Slc1a4	-1	0	0	0	0	0
Slc20a1	-1	0	0	0	0	0
Slc22a23	-1	0	0	0	0	0
Slc23a2	-1	0	0	0	0	0
Slc24a3	-1	0	0	0	0	0
Slc25a33	-1	0	0	0	0	0
Slc2a1	-1	0	0	0	0	0
Slc2a10	-1	0	0	0	0	0
Slc30a1	-1	0	0	0	0	0
Slc30a5	-1	0	0	0	0	0
Slc35b3	-1	0	0	0	0	0
Slc35c1	-1	0	0	0	0	0
Slc38a2	-1	0	0	0	0	0
Slc40a1	-1	0	0	0	0	0
Slco4a1	-1	0	0	0	0	0
Slmo2	-1	0	0	0	0	0
Slpi	-1	0	0	0	0	0
Smad5	-1	0	0	0	0	0
Smad7	-1	0	0	0	0	0
Smc3	-1	0	0	0	0	0
Smndc1	-1	0	0	0	0	0
Snapc3	-1	0	0	0	0	0
Snd1	-1	0	0	0	0	0
Sned1	-1	0	0	0	0	0
Snrpe	-1	0	0	0	0	0
Sntb1	-1	0	0	0	0	0
Snx13	-1	0	0	0	0	0
Snx18	-1	0	0	0	0	0
Snx27	-1	0	0	0	0	0
Soat1	-1	0	0	0	0	0
Socs1	-1	0	0	0	0	0
Socs6	-1	0	0	0	0	0
Sox9	-1	0	0	0	0	0
Sp2	-1	0	0	0	0	0
Sp3	-1	0	0	0	0	0
Sp8	-1	0	0	0	0	0
Spaca6	-1	0	0	0	0	0
Spc25	-1	0	0	0	0	0
Spred1	-1	0	0	0	0	0
Spry4	-1	0	0	0	0	0
Sptlc1	-1	0	0	0	0	0
Sptssa	-1	0	0	0	0	0
Sqle	-1	0	0	0	0	0
Srd5a3	-1	0	0	0	0	0
Srgap3	-1	0	0	0	0	0
Srp9	-1	0	0	0	0	0
Ssbp1	-1	0	0	0	0	0
Stard3nl	-1	0	0	0	0	0
Stim2	-1	0	0	0	0	0
Stk24	-1	0	0	0	0	0
Styk1	-1	0	0	0	0	0
Susd1	-1	0	0	0	0	0
Suv420h2	-1	0	0	0	0	0
Syf2	-1	0	0	0	0	0
Syk	-1	0	0	0	0	0
Syne3	-1	0	0	0	0	0
Syt13	-1	0	0	0	0	0
Tanc1	-1	0	0	0	0	0
Tardbp	-1	0	0	0	0	0
Tars	-1	0	0	0	0	0
Tasp1	-1	0	0	0	0	0
Tbc1d7	-1	0	0	0	0	0
Tbrg4	-1	0	0	0	0	0
Tcerg1	-1	0	0	0	0	0
Tcf7l2	-1	0	0	0	0	0
Tes	-1	0	0	0	0	0
Tet2	-1	0	0	0	0	0
Tgfb2	-1	0	0	0	0	0
Tgm2	-1	0	0	0	0	0
Thap1	-1	0	0	0	0	0
Thsd7a	-1	0	0	0	0	0
Tlk2	-1	0	0	0	0	0
Tlr3	-1	0	0	0	0	0
Tm4sf1	-1	0	0	0	0	0
Tmed3	-1	0	0	0	0	0
Tmem131	-1	0	0	0	0	0
Tmem144	-1	0	0	0	0	0
Tmem167	-1	0	0	0	0	0
Tmem17	-1	0	0	0	0	0
Tmem171	-1	0	0	0	0	0
Tmem182	-1	0	0	0	0	0
Tnc	-1	0	0	0	0	0
Tnfaip3	-1	0	0	0	0	0
Tnfrsf1a	-1	0	0	0	0	0
Tnfsf15	-1	0	0	0	0	0
Tnrc6a	-1	0	0	0	0	0
Tnrc6b	-1	0	0	0	0	0
Tns3	-1	0	0	0	0	0
Tomm20	-1	0	0	0	0	0
Tpcn2	-1	0	0	0	0	0
Tpm1	-1	0	0	0	0	0
Tpra1	-1	0	0	0	0	0
Trib3	-1	0	0	0	0	0
Tril	-1	0	0	0	0	0
Trio	-1	0	0	0	0	0
Trp63	-1	0	0	0	0	0
Tsc22d1	-1	0	0	0	0	0
Tsc22d2	-1	0	0	0	0	0
Tsen2	-1	0	0	0	0	0
Tsku	-1	0	0	0	0	0
Tslp	-1	0	0	0	0	0
Tspan5	-1	0	0	0	0	0
Tspan8	-1	0	0	0	0	0
Ttc32	-1	0	0	0	0	0
Ttc8	-1	0	0	0	0	0
Ttll11	-1	0	0	0	0	0
Tusc1	-1	0	0	0	0	0
Twf1	-1	0	0	0	0	0
Twist2	-1	0	0	0	0	0
Txnrd1	-1	0	0	0	0	0
Ubash3b	-1	0	0	0	0	0
Ubl3	-1	0	0	0	0	0
Ublcp1	-1	0	0	0	0	0
Ubr5	-1	0	0	0	0	0
Upf2	-1	0	0	0	0	0
Uqcrfs1	-1	0	0	0	0	0
Usp11	-1	0	0	0	0	0
Usp12	-1	0	0	0	0	0
Usp2	-1	0	0	0	0	0
Usp24	-1	0	0	0	0	0
Usp3	-1	0	0	0	0	0
Usp31	-1	0	0	0	0	0
Usp38	-1	0	0	0	0	0
Utrn	-1	0	0	0	0	0
Vamp4	-1	0	0	0	0	0
Vangl1	-1	0	0	0	0	0
Vash2	-1	0	0	0	0	0
Vcam1	-1	0	0	0	0	0
Vegfa	-1	0	0	0	0	0
Vegfc	-1	0	0	0	0	0
Vgll2	-1	0	0	0	0	0
Vps37c	-1	0	0	0	0	0
Vps8	-1	0	0	0	0	0
Wipf1	-1	0	0	0	0	0
Wnk1	-1	0	0	0	0	0
Xaf1	-1	0	0	0	0	0
Yipf5	-1	0	0	0	0	0
Ywhah	-1	0	0	0	0	0
Ywhaz	-1	0	0	0	0	0
Zbtb10	-1	0	0	0	0	0
Zbtb14	-1	0	0	0	0	0
Zbtb20	-1	0	0	0	0	0
Zbtb8a	-1	0	0	0	0	0
Zc3h12a	-1	0	0	0	0	0
Zc3h12c	-1	0	0	0	0	0
Zcchc2	-1	0	0	0	0	0
Zdhhc13	-1	0	0	0	0	0
Zfand3	-1	0	0	0	0	0
Zfp217	-1	0	0	0	0	0
Zfp3	-1	0	0	0	0	0
Zfp365	-1	0	0	0	0	0
Zfp36l1	-1	0	0	0	0	0
Zfp36l2	-1	0	0	0	0	0
Zfp462	-1	0	0	0	0	0
Zfp664	-1	0	0	0	0	0
Zfp703	-1	0	0	0	0	0
Zfp706	-1	0	0	0	0	0
Zfp715	-1	0	0	0	0	0
Zfp90	-1	0	0	0	0	0
Zfpm1	-1	0	0	0	0	0
Zfx	-1	0	0	0	0	0
Zkscan17	-1	0	0	0	0	0
Zmiz1	-1	0	0	0	0	0
Zmym2	-1	0	0	0	0	0
Znhit1	-1	0	0	0	0	0
